,Unnamed: 0,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases
8,8,1,USA,85060675,52112,1029015,37,81632147,45898,2399513,2289
9,9,2,India,43138393,2022,524459,46,42599102,2099,14832,698
10,10,3,Brazil,30791220,11192,665680,23,29832019,30794,293521,8318
11,11,4,France,29354950,16965,147835,11,28542968,8737,664147,1173
12,12,5,Germany,26085617,3300,138712,3,24602500,26900,1344405,944
13,13,6,UK,22238715,0,177977,0,21819211,14713,241527,188
14,14,7,Russia,18293450,4710,378350,80,17688903,5814,226197,2300
15,15,8,S. Korea,17957697,19298,23965,54,17371880,49012,561852,229
16,16,9,Italy,17247753,17945,165952,34,16231004,24528,850797,292
17,17,10,Turkey,15062281,905,98926,5,14959906,1019,3449,975
18,18,11,Spain,12238073,0,105947,0,11620275,0,511851,339
19,19,12,Vietnam,10708887,1319,43075,0,9402046,8945,1263766,211
20,20,13,Argentina,9178795,6141,128825,7,8895999,0,153971,300
21,21,14,Japan,8587421,34957,30292,37,8210336,35915,346793,92
22,22,15,Netherlands,8077136,764,22307,0,8010669,2997,44160,36
23,23,16,Iran,7230053,312,141274,3,7033986,1774,54793,670
24,24,17,Australia,6948968,38515,8097,20,6563517,40677,377354,103
25,25,18,Colombia,6099111,0,139833,0,5930545,0,28733,342
26,26,19,Indonesia,6052590,227,156522,3,5892411,285,3657,2771
27,27,20,Poland,6005531,95,116268,0,5335250,12,554013,981
28,28,21,Mexico,5757740,1018,324740,28,5053051,300,379949,4798
29,29,22,Ukraine,5011304,371,108533,5,0,0,0,177
30,30,23,Malaysia,4491320,1817,35643,2,4429166,6551,26511,40
31,31,24,Thailand,4411494,4739,29749,31,4325956,7391,55789,1496
32,32,25,Austria,4233430,1950,18347,4,4169371,3248,45712,45
33,33,26,Belgium,4134293,0,31675,0,3984116,4682,118502,105
34,34,27,Israel,4121326,704,10827,0,4096572,1915,13927,150
35,35,28,Portugal,4066674,0,22583,0,0,0,0,61
36,36,29,South Africa,3929872,3220,100933,2,3739543,0,89396,192
37,37,30,Czechia,3918065,85,40266,1,3875753,585,2046,5
38,38,31,Canada,3846998,1052,40679,2,3516903,1484,289416,370
39,39,32,Philippines,3688941,191,60455,0,3626234,196,2252,480
40,40,33,Chile,3643136,6143,57802,8,3483998,2937,101336,142
41,41,34,Switzerland,3642604,0,13934,0,3575999,4044,52671,71
42,42,35,Peru,3576042,751,213106,8,0,0,0,189
43,43,36,Greece,3419998,2385,29690,11,3341372,6432,48936,156
44,44,37,Denmark,2979238,0,6312,0,2965343,846,7583,11
45,45,38,Romania,2906051,192,65652,1,0,0,0,101
46,46,39,DPRK,2646730,186090,67,1,2067270,299190,579393,0
47,47,40,Sweden,2506607,0,18908,0,2480070,1212,7629,7
48,48,41,Iraq,2327269,77,25216,0,2300919,165,1134,9
49,49,42,Serbia,2015086,186,16065,2,1992080,1046,6941,10
50,50,43,Bangladesh,1953233,29,29128,0,1900964,217,23141,1259
51,51,44,Hungary,1914697,0,46446,0,1830803,0,37448,21
52,52,45,Slovakia,1788452,118,20080,3,1765056,232,3316,30
53,53,46,Jordan,1694216,0,14048,0,1678941,0,1227,124
54,54,47,Georgia,1655221,0,16811,0,1637293,0,1117,0
55,55,48,Ireland,1551835,0,7244,0,1523924,2592,20667,25
56,56,49,Pakistan,1529785,76,30379,0,1496054,1913,3352,79
57,57,50,Norway,1431291,58,3094,0,0,0,0,20
58,58,51,Taiwan,1320357,79473,1396,53,149460,17794,1169501,0
59,59,52,Kazakhstan,1305691,5,13661,0,1291880,11,150,24
60,60,53,Singapore,1269635,2827,1375,1,1188831,4306,79429,8
61,61,54,Hong Kong,1210396,237,9370,0,0,0,0,5
62,62,55,Morocco,1166628,98,16075,0,1149601,125,952,293
63,63,56,Bulgaria,1163413,96,37093,3,1042639,57,83681,43
64,64,57,Croatia,1134232,205,15966,5,1115160,534,3106,5
65,65,58,Cuba,1104979,44,8529,0,1096117,49,333,23
66,66,59,New Zealand,1099250,5058,1007,10,1042678,5818,55565,0
67,67,60,Lebanon,1098576,73,10417,0,1085682,0,2477,186
68,68,61,Finland,1081225,0,4406,0,0,0,0,21
69,69,62,Lithuania,1061535,24,9134,0,1035135,59,17266,12
70,70,63,Tunisia,1041789,0,28628,0,0,0,0,29
71,71,64,Slovenia,1022514,156,6629,1,1009242,326,6643,8
72,72,65,Belarus,982867,0,6978,0,0,0,0,0
73,73,66,Nepal,979068,6,11952,0,966975,13,141,0
74,74,67,Bolivia,907224,211,21944,1,865679,272,19601,220
75,75,68,UAE,904830,364,2302,0,888584,356,13944,0
76,76,69,Uruguay,902540,0,7213,0,892434,0,2893,18
77,77,70,Costa Rica,877533,0,8472,0,848035,0,21026,38
78,78,71,Ecuador,874719,120,35617,0,0,0,0,759
79,79,72,Guatemala,856496,120,17954,12,835876,152,2666,5
80,80,73,Panama,830287,2167,8227,6,794046,3280,28014,16
81,81,74,Latvia,826856,0,5813,0,818257,0,2786,7
82,82,75,Azerbaijan,792712,4,9710,0,782957,7,45,0
83,83,76,Saudi Arabia,763042,467,9130,2,747492,493,6420,77
84,84,77,Sri Lanka,663758,9,16512,0,646937,2,309,0
85,85,78,Paraguay,650283,0,18885,0,624673,0,6725,4
86,86,79,Kuwait,632781,307,2555,0,629695,303,531,4
87,87,80,Myanmar,613222,3,19434,0,592186,12,1602,0
88,88,81,Palestine,582246,0,5355,0,576764,0,127,17
89,89,82,Bahrain,581371,574,1482,2,575470,665,4419,26
90,90,83,Dominican Republic,581351,198,4377,0,576147,0,827,1
91,91,84,Estonia,575046,0,2561,0,516588,0,55897,4
92,92,85,Venezuela,523343,77,5716,0,516506,38,1121,230
93,93,86,Moldova,517753,0,11503,0,504142,0,2108,49
94,94,87,Egypt,515645,0,24613,0,442182,0,48850,122
95,95,88,Libya,501904,0,6430,0,490973,0,4501,101
96,96,89,Cyprus,477711,0,1032,0,124370,0,352309,60
97,97,90,Ethiopia,471373,30,7512,0,455810,0,8051,6
98,98,91,Mongolia,469885,0,2179,0,313256,0,154450,192
99,99,92,Honduras,424771,0,10896,0,132401,0,281474,105
100,100,93,Armenia,422917,0,8623,0,412071,0,2223,0
101,101,94,RÃÂ©union,411363,0,770,0,403795,0,6798,10
102,102,95,Oman,389473,0,4260,0,384669,0,544,2
103,103,96,Bosnia and Herzegovina,377709,0,15783,0,0,0,0,0
104,104,97,Qatar,367099,147,677,0,365415,161,1007,0
105,105,98,Kenya,324242,20,5651,2,318276,13,315,0
106,106,99,Zambia,321146,47,3985,1,316518,74,643,0
107,107,100,North Macedonia,311199,86,9297,1,301361,86,541,0
108,108,101,Botswana,306614,0,2692,0,303619,0,303,1
109,109,102,Albania,275864,26,3497,0,272125,34,242,2
110,110,103,Algeria,265854,3,6875,0,178386,5,80593,6
111,111,104,Nigeria,255937,0,3143,0,249996,0,2798,11
112,112,105,Zimbabwe,250642,0,5494,0,243033,0,2115,12
113,113,106,Luxembourg,244182,0,1073,0,235939,0,7170,0
114,114,107,Uzbekistan,238929,19,1637,0,237146,16,146,23
115,115,108,Montenegro,236721,33,2719,0,233362,65,640,6
116,116,109,Mozambique,225577,14,2201,0,223279,0,97,13
117,117,110,China,223145,169,5222,3,213518,476,4405,200
118,118,111,Laos,209728,29,754,0,0,0,0,0
119,119,112,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131
120,120,113,Iceland,186969,0,153,0,0,0,0,0
121,121,114,Afghanistan,179716,42,7698,1,162741,108,9277,1124
122,122,115,Maldives,179560,0,298,0,163687,0,15575,25
123,123,116,Namibia,164850,273,4032,1,157815,4153,3003,0
124,124,117,Martinique,164411,0,931,0,104,0,163376,8
125,125,118,Uganda,164069,0,3596,0,100205,0,60268,2
126,126,119,El Salvador,162089,0,4130,0,150662,0,7297,8
127,127,120,Ghana,161351,26,1445,0,159865,39,41,1
128,128,121,Trinidad and Tobago,158225,345,3893,3,144803,0,9529,18
129,129,122,Brunei,146506,191,221,0,144672,285,1613,0
130,130,123,Guadeloupe,140130,0,854,0,2250,0,137026,19
131,131,124,Cambodia,136262,0,3056,0,133201,0,5,0
132,132,125,Jamaica,134660,363,3032,4,86045,118,45583,0
133,133,126,Rwanda,129978,7,1459,0,45522,0,82997,0
134,134,127,Cameroon,119780,0,1927,0,117791,0,62,13
135,135,128,Angola,99194,0,1900,0,97149,0,145,0
136,136,129,Malta,94046,61,717,0,91098,146,2231,4
137,137,130,DRC,87633,0,1338,0,50930,0,35365,0
138,138,131,Senegal,86073,6,1966,0,84086,4,21,0
139,139,132,Malawi,85929,0,2638,0,82799,0,492,67
140,140,133,French Guiana,82313,0,397,0,11254,0,70662,1
141,141,134,Ivory Coast,82044,0,799,0,81213,0,32,0
142,142,135,Suriname,80240,0,1339,0,49466,0,29435,0
143,143,136,Barbados,78919,187,440,3,74197,110,4282,0
144,144,137,Channel Islands,75767,0,176,0,74979,0,612,0
145,145,138,French Polynesia,72858,0,649,0,0,0,0,7
146,146,139,Eswatini,72150,25,1404,0,70299,103,447,11
147,147,140,Fiji,64895,15,862,0,62931,0,1102,0
148,148,141,Madagascar,64314,38,1393,0,59370,0,3551,6
149,149,142,Guyana,64276,48,1231,0,62456,1,589,0
150,150,143,Sudan,62211,0,4937,0,0,0,0,0
151,151,144,New Caledonia,61514,0,312,0,60620,0,582,9
152,152,145,Bhutan,59574,0,21,0,59509,0,44,0
153,153,146,Mauritania,59025,22,982,0,57776,14,267,0
154,154,147,Belize,58419,0,677,0,56886,0,856,6
155,155,148,Cabo Verde,56172,5,401,0,55669,6,102,23
156,156,149,Syria,55879,1,3150,0,52601,10,128,0
157,157,150,Gabon,47622,0,304,0,47303,0,15,0
158,158,151,Papua New Guinea,44394,0,651,0,43726,0,17,7
159,159,152,Seychelles,43729,0,167,0,43040,0,522,0
160,160,153,CuraÃÂ§ao,43522,0,276,0,42622,0,624,3
161,161,154,Andorra,42572,0,153,0,41757,0,662,14
162,162,155,Burundi,41606,0,38,0,0,0,0,0
163,163,156,Mauritius,37969,14,996,0,36289,0,684,0
164,164,157,Mayotte,37523,0,187,0,2964,0,34372,0
165,165,158,Togo,37046,2,273,0,36747,3,26,0
166,166,159,Guinea,36597,0,442,0,36113,0,42,8
